feature,importance
cogs_lag_1,0.3238594
cogs_lag_365,0.12269856
cogs_lag_364,0.083603546
cogs_ewm_mean_7,0.04515439
cogs_roll_mean_7,0.025471142
cogs_lag_7,0.02007955
cogs_roll_sum_14,0.01958611
cogs_roll_mean_14,0.018357864
cogs_roll_sum_7,0.015513329
cogs_lag_28,0.015040607
day,0.014068284
cogs_lag_14,0.013304226
cogs_roll_sum_28,0.012244133
cogs_roll_mean_28,0.010360615
cogs_lag_56,0.009967525
days_to_next_mega_sale,0.00938661
time_idx,0.00924998
cogs_lag_366,0.008267869
doy_sin,0.007816559
time_idx_sq,0.007381814
days_to_next_promo_start,0.0073647615
day_of_week,0.00709633
cogs_ewm_mean_14,0.0070213904
month_cos,0.006984275
is_weekend,0.006976029
month_sin,0.0068936916
promo_active_cnt,0.0063072946
days_since_prev_mega_sale,0.0062343767
is_post_promo_3d,0.006152468
promo_global_ratio,0.006046642
cogs_roll_std_84,0.00590448
is_pre_promo_3d,0.0058689523
is_month_end,0.0058373674
cogs_roll_std_7,0.005772205
is_holiday_fixed,0.0055578495
day_of_year,0.005494206
dow_cos,0.0054792673
cogs_roll_std_28,0.005385161
cogs_ewm_mean_56,0.005363302
cogs_roll_sum_56,0.005300961
dow_sin,0.005273853
days_since_prev_promo_end,0.005155832
cogs_roll_std_14,0.004981908
cogs_roll_std_56,0.0049697184
cogs_lag_182,0.004789076
year,0.004734029
promo_targeted_discount_mean,0.004679019
doy_cos,0.0044485275
cogs_roll_mean_56,0.004358945
cogs_roll_mean_84,0.0042578788
is_month_start,0.0039989976
cogs_lag_84,0.00399586
cogs_ewm_mean_28,0.003990439
promo_stackable_cnt,0.0038943044
is_post_promo_7d,0.0038181462
promo_global_cnt,0.003062031
week_of_year,0.002747918
promo_intensity,0.0026424811
month,0.0026042836
promo_pct_cnt,0.0019918105
is_quarter_end,0.0015044797
promo_targeted_cnt,0.0013290591
is_pre_promo_7d,0.0012760728
promo_discount_mean,0.0005777643
cogs_roll_sum_84,0.00046446853
quarter,0.0
is_quarter_start,0.0
is_promo_end_day,0.0
promo_streetwear_direct_cnt,0.0
is_promo_start_day,0.0
promo_outdoor_direct_discount_mean,0.0
promo_global_discount_mean,0.0
promo_fixed_cnt,0.0
promo_streetwear_direct_discount_mean,0.0
is_mega_sale,0.0
is_mega_sale_1212,0.0
is_mega_sale_1111,0.0
is_mega_sale_0909,0.0
is_pre_mega_sale_3d,0.0
is_promo_active,0.0
is_post_mega_sale_3d,0.0
promo_outdoor_direct_cnt,0.0
